Fp2	0.9511	-0.3091	0
Fp1	0.9511	0.309	0.0001
AF8	0.809	-0.5878	0
AF4	0.8919	-0.3553	0.2783
AFz	0.923	0	0.3824
AF3	0.892	0.3554	0.2782
AF7	0.809	0.5878	0
F8	0.5878	-0.809	0
F6	0.6343	-0.721	0.2764
F4	0.6726	-0.5399	0.5043
F2	0.6979	-0.2888	0.6542
Fz	0.7067	0	0.7067
F1	0.6979	0.2888	0.6542
F3	0.6726	0.5399	0.5043
F5	0.6343	0.721	0.2764
F7	0.5878	0.809	0
FC6	0.3373	-0.8709	0.3549
FC4	0.3612	-0.6638	0.6545
FC2	0.377	-0.3581	0.8532
FCz	0.3826	0	0.9233
FC1	0.377	0.3581	0.8532
FC3	0.3612	0.6638	0.6545
FC5	0.3373	0.8709	0.3549
T8	0	-1	0
C6	0.0001	-0.9237	0.3826
C4	0.0001	-0.7066	0.7066
C2	0.0001	-0.3824	0.9231
Cz	0.0002	0	1
C1	0.0002	0.3824	0.9231
C3	0.0001	0.7066	0.7066
C5	0.0001	0.9237	0.3826
T7	0	1	0
TP8	-0.309	-0.9511	-0.0001
CP6	-0.3372	-0.8712	0.3552
CP4	-0.3608	-0.6635	0.6543
CP2	-0.3767	-0.358	0.8534
CPz	-0.3822	0	0.9231
CP1	-0.3767	0.358	0.8534
CP3	-0.3609	0.6635	0.6543
CP5	-0.3372	0.8712	0.3552
TP7	-0.309	0.9511	-0.0001
P8	-0.5878	-0.809	-0.0001
P6	-0.6342	-0.7211	0.2764
P4	-0.6724	-0.5401	0.5045
P2	-0.6975	-0.2889	0.6545
Pz	-0.7063	0	0.7065
P1	-0.6975	0.2889	0.6545
P3	-0.6724	0.5401	0.5045
P5	-0.6342	0.7211	0.2764
P7	-0.5878	0.809	-0.0001
PO8	-0.809	-0.5878	0
PO4	-0.8918	-0.3549	0.2776
POz	-0.923	0	0.3824
PO3	-0.8918	0.3549	0.2776
PO7	-0.809	0.5878	0
O2	-0.9511	-0.309	0
Oz	-1	0	0
O1	-0.9511	0.309	0
A1	-0.2852	0.8777	-0.3826
A2	-0.2853	-0.8777	-0.3826

LOC	0.9	0.3	-0.3

ROC	0.9	-0.3	-0.3

EMG1	0.7	0.3	-0.3

EMG2	0.7	-0.3	-0.3
